time,log_infected,log_hospitalized,log_icu,log_death,log_vaccinated
1.0,0.28694670218744606,0.0,0.0,0.0,0.0
2.0,0.3314915135017381,0.0,0.0,0.0,0.0
3.0,0.3630894827947746,0.0,0.0,0.0,0.0
4.0,0.3897600122264901,0.0,0.0,0.0,0.0
5.0,0.3999294237937031,0.0,0.0,0.0,0.0
6.0,0.406246094047013,0.0,0.0,0.0,0.0
7.0,0.4162412993371888,0.0,0.0,0.0,0.0
8.0,0.430673445494482,0.0,0.0,0.0,0.0
9.0,0.44282069136021335,0.0,0.0,0.0,0.0
10.0,0.4417229372969661,0.0,0.0,0.0,0.0
11.0,0.416246257661836,0.0,0.0,0.0,0.0
12.0,0.36885190986935756,0.0,0.0,0.0,0.0
13.0,0.3138213869585362,0.0,0.0,0.0,0.0
14.0,0.25994254088114427,0.0,0.0,0.0,0.0
15.0,0.2275073514928147,0.0,0.0,0.0,0.0
16.0,0.22928207002512552,0.0,0.0,0.0,0.0
17.0,0.24071983749926737,0.0,0.0,0.0,0.0
18.0,0.23736106371802565,0.0,0.0,0.0,0.0
19.0,0.21924932562273305,0.0,0.0,0.0,0.0
20.0,0.20406707091410434,0.0,0.0,0.0,0.0
21.0,0.21498015867470005,0.0,0.0,0.0,0.0
22.0,0.25649468265597264,0.0,0.0,0.0,0.0
23.0,0.3050784882941228,0.0,0.0,0.0,0.0
24.0,0.3278102387457604,0.0,0.0,0.0,0.0
25.0,0.29986345927561187,0.0,0.0,0.0,0.0
26.0,0.1871096611146716,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0
30.0,0.5745358234389668,0.0,0.0,0.0,0.0
31.0,0.919936065761232,0.0,2.303196057420489,0.0,0.0
32.0,1.1236107632608991,0.0,2.4899584794248346,0.0,0.0
33.0,1.2483657967514643,0.0,2.5622928644564746,0.0,0.0
34.0,1.358903753663094,0.0,2.655138434811382,0.0,0.0
35.0,1.5076469996920852,1.6901960800285136,2.7902851640332416,0.0,0.0
36.0,1.6933898097995466,1.7708520116421442,2.8976270912904414,0.0,0.0
37.0,1.8652008659189654,1.9777236052888478,2.916453948549925,0.0,0.0
38.0,1.9846235718676168,2.1172712956557644,2.957128197676813,0.0,0.0
39.0,2.0527913745235735,2.1958996524092336,3.0008677215312267,0.0,0.0
40.0,2.0947388650787846,2.271841606536499,3.0269416279590295,0.0,0.0
41.0,2.143076639983664,2.429752280002408,3.0806264869218056,0.08213061918197834,0.0
42.0,2.238365919645123,2.4785664955938436,3.1908917169221698,0.20985148342431206,0.0
43.0,2.4051850011350373,2.503790683057181,3.2518814545525276,0.3458050739549246,0.0
44.0,2.5949242560136456,2.5599066250361124,3.3230457354817013,0.48779225121851455,0.0
45.0,2.752131610115516,2.6464037262230695,3.3738311450738303,0.630675379973488,0.0
46.0,2.867302120797857,2.720159303405957,3.3935752032695876,0.7602922653834604,0.0
47.0,2.955394070110517,2.8055008581584002,3.4034637013453173,0.8624140806620756,0.0
48.0,3.0383273273198506,2.890421018800914,3.4073909044707316,0.9337284901346656,0.0
49.0,3.134547457518334,2.9508514588885464,3.4224256763712044,0.9856990887262093,0.0
50.0,3.2475277490717507,3.018284308426531,3.4252080511386565,1.038342779260829,0.0
51.0,3.3605133843018185,3.132579847659737,3.4344092075875,1.1075455332847082,0.0
52.0,3.451353350961887,3.229681842317676,3.4321672694425884,1.207245558206956,0.0
53.0,3.51020237767388,3.348888723071438,3.4245549766067134,1.337622436101264,0.0
54.0,3.5388667819652504,3.4442009888641594,3.4245549766067134,1.4858931737920213,0.0
55.0,3.547184035839345,3.52543355342882,3.4350476413399647,1.638300515277715,0.0
56.0,3.551836912052352,3.6019514041335214,3.435525851498655,1.786574806829584,0.0
57.0,3.57283216499998,3.6466977312993345,3.437750562820388,1.9285979404576792,0.0
58.0,3.6164469162074804,3.7028611705729295,3.4499409887733377,2.062260134191509,0.0
59.0,3.6663162842349775,3.7754648093457392,3.4599952560473914,2.1844491272811646,0.0
60.0,3.702694000917984,3.841547165256553,3.4674601095072637,2.2953387183238894,0.0
61.0,3.716645992826677,3.89867034296553,3.458788881710845,2.3981446198899996,0.0
62.0,3.7096726422146493,3.949243590568265,3.4632956099620027,2.4965385609631996,0.0
63.0,3.6936715727544525,3.9868165045855366,3.4565178578052627,2.5924348799519707,0.0
64.0,3.688117076853057,4.011358953706611,3.4385423487861106,2.6860358770078623,0.0
65.0,3.704260829958354,4.0385009430766745,3.4360035356698964,2.7762740512136994,0.0
66.0,3.731167681459792,4.071624298539752,3.4234097277330933,2.8603543741041384,0.0
67.0,3.74958729608802,4.0876749600367575,3.4055171069763763,2.93578491698305,0.0
68.0,3.747550613878252,4.096736260462468,3.403120521175818,3.0020788953374034,0.0
69.0,3.7236888230854466,4.103085001841614,3.3930484664167784,3.061004237139129,0.0
70.0,3.6867550803276155,4.095134466939837,3.379305517750582,3.11584871727481,0.0
71.0,3.6533678705518433,4.085896811131588,3.3643633546157306,3.1695186863220153,0.0
72.0,3.638758943443441,4.080734686353143,3.3506356082589543,3.2228350788185636,0.0
73.0,3.6396928791686545,4.062469165814253,3.3273589343863303,3.2741382521436537,0.0
74.0,3.6367760261521154,4.050263722645796,3.312388949370592,3.320778563600134,0.0
75.0,3.6122851222763135,4.036668810300097,3.305136318943639,3.361121732167693,0.0
76.0,3.5583675182629286,3.9976047874604546,3.296884475538547,3.3954567570250047,0.0
77.0,3.48191964603366,3.982225991674675,3.280350693046006,3.425841069636424,0.0
78.0,3.4115799647748117,3.97639583661188,3.2615007731982804,3.4551855082703886,0.0
79.0,3.383627933465363,3.940466677663529,3.247973266361807,3.4858684686139974,0.0
80.0,3.3993205541502207,3.910143961064513,3.2208922492195193,3.5181513378768514,0.0
81.0,3.42577792240881,3.8881233072979087,3.203304916138483,3.5503502153008233,0.0
82.0,3.43549451247651,3.8631443462526676,3.205745540942662,3.580365485966738,0.0
83.0,3.4192033856897095,3.862906213562998,3.2016701796465816,3.6068327499133472,0.0
84.0,3.382347248235231,3.8454081396217936,3.1760912590556813,3.6297379273155075,0.0
85.0,3.3404012807846866,3.8298824464434933,3.1420764610732848,3.6501488347641375,0.0
86.0,3.311627310216585,3.8342299028516775,3.1202447955463652,3.669363476067965,0.0
87.0,3.300892267497679,3.8108371511404884,3.092018470752797,3.6880575753783567,0.0
88.0,3.2943358760436547,3.776773802412107,3.0707764628434346,3.706040455310379,0.0
89.0,3.273939335683215,3.735997884091794,3.052693941924968,3.722691783445896,0.0
90.0,3.231394694811447,3.7019994748896368,3.0519239160461065,3.737578133281531,0.0
91.0,3.1735336290770895,3.6776981814745104,3.037027879755775,3.7508662634346934,0.0
92.0,3.1208257256586522,3.6496268868405295,3.009450895798694,3.763199718061972,0.0
93.0,3.0928179581124673,3.6133131614554594,3.000434077479319,3.7751963822375734,0.0
94.0,3.085038294421869,3.594060901270418,2.9894498176666917,3.786880839502094,0.0
95.0,3.074958895847615,3.5481436374348454,2.9694159123539814,3.7977816525685006,0.0
96.0,3.0444672001502746,3.5341530741850624,2.954724790979063,3.8074429400207173,0.0
97.0,2.9915703457409997,3.4886916983169405,2.9474337218870508,3.815719710095643,0.0
98.0,2.9329778316499264,3.4510184521554574,2.9122220565324155,3.8229619449331955,0.0
99.0,2.9028584410230023,3.4360035356698964,2.876217840591642,3.829891078420692,0.0
100.0,2.9217020708699875,3.4104397862103464,2.8615344108590377,3.8371009177532884,0.0
101.0,2.9643820739856963,3.375297738217339,2.8609366207000937,3.8446325412024147,0.0
102.0,2.994668539952431,3.3653007486379876,2.8555191556678,3.852055161678734,0.0
103.0,2.99425038640414,3.343014497150768,2.845098040014257,3.8588079310228793,0.0
104.0,2.9614467168848133,3.345765693114488,2.8444771757456815,3.8645353750872875,0.0
105.0,2.910399144445061,3.3386556655787003,2.8419848045901137,3.8693523487558323,0.0
106.0,2.867730725287857,3.334252642334231,2.803457115648414,3.8737413709761963,0.0
107.0,2.854185452266385,3.3281756614383227,2.7788744720027396,3.878187288158224,0.0
108.0,2.8625898614814873,3.3025473724874854,2.7701152947871015,3.882816773839167,0.0
109.0,2.86859234395879,3.263636068588108,2.7505083948513462,3.8874208061886044,0.0
110.0,2.856280961852506,3.2214142378423385,2.754348335711019,3.891707795129222,0.0
111.0,2.825180942122067,3.1956229435869368,2.737987326333431,3.8954672447855985,0.0
