cp_index,original_cp,candidate_cp,loss,delta_loss
1,60,53,2177.7752488380947,583.4971147206422
1,60,54,2003.5029032017546,409.2247690843021
1,60,55,1865.0965851382803,270.81845102082775
1,60,56,1759.1840428430976,164.90590872564508
1,60,57,1682.2953573258606,88.01722320840804
1,60,58,1630.9930997721785,36.71496565472603
1,60,59,1602.4032732004757,8.125139083023214
1,60,60,1594.2781341174525,0.0
1,60,61,1604.7049541944095,10.426820076957029
1,60,62,1621.317137037027,27.039002919574386
1,60,63,1635.8322333805452,41.55409926309267
1,60,64,1659.1281731061963,64.85003898874379
1,60,65,1697.1850511751475,102.90691705769495
1,60,66,1733.4741181030927,139.19598398564017
1,60,67,1765.6884933408548,171.41035922340234
2,150,143,1614.8472050610617,20.569070943609177
2,150,144,1607.2407457569145,12.962611639462011
2,150,145,1601.1685306093977,6.890396491945239
2,150,146,1596.4675516149427,2.18941749749024
2,150,147,1593.2149364068978,-1.0631977105547321
2,150,148,1591.6273529547127,-2.650781162739804
2,150,149,1591.950503140223,-2.3276309772295463
2,150,150,1594.2781341174525,0.0
2,150,151,1598.6009007787657,4.322766661313153
2,150,152,1604.8785971696152,10.600463052162695
2,150,153,1613.1405255743596,18.862391456907062
2,150,154,1623.5291588389928,29.25102472154026
2,150,155,1636.2096369485525,41.93150283110003
2,150,156,1651.2214600395628,56.94332592211026
2,150,157,1668.442576607326,74.16444248987341
