cp_index,original_cp,candidate_cp,loss,delta_loss
1,60,53,1558.9861369566188,49.56548724146114
1,60,54,1520.0128077232102,10.592158008052593
1,60,55,1484.4469649011912,-24.97368481396643
1,60,56,1463.3849594310618,-46.035690284095836
1,60,57,1456.8906802403899,-52.52996947476777
1,60,58,1462.0143105065167,-47.40633920864093
1,60,59,1479.0794504973774,-30.341199217780286
1,60,60,1509.4206496923534,-2.2804215404903516e-8
1,60,61,1553.9415341015304,44.5208843863727
1,60,62,1612.3747538245257,102.95410410936802
1,60,63,1685.0556056728292,175.63495595767154
1,60,64,1769.9526283426858,260.53197862752813
1,60,65,1865.979542232111,356.5588925169534
1,60,66,1973.2978975802653,463.8772478651076
1,60,67,2091.210692534848,581.7900428196904
2,150,143,1502.495892243511,-6.9247574716466715
2,150,144,1504.0786255972614,-5.342024117896244
2,150,145,1505.5171242571955,-3.9035254579621324
2,150,146,1506.691972906609,-2.7286768085486983
2,150,147,1507.670656663558,-1.7499930515996311
2,150,148,1508.3534871347456,-1.0671625804120595
2,150,149,1508.9292593153432,-0.4913903998144633
2,150,150,1509.4206496923534,-2.2804215404903516e-8
2,150,151,1510.059289269986,0.6386395548283872
2,150,152,1510.2951120069924,0.8744622918347886
2,150,153,1510.5642742783903,1.1436245632326063
2,150,154,1510.8104536246813,1.3898039095236072
2,150,155,1511.0338350288384,1.6131853136807877
2,150,156,1511.2933892888318,1.8727395736741528
2,150,157,1511.608270730102,2.1876210149443978
