objective,cp
tcpd_hannan_quinn,40
tcpd_hannan_quinn,60
tcpd_hannan_quinn,80
tcpd_hannan_quinn,120
tcpd_hannan_quinn,150
tcpd_hannan_quinn,260
tcpd_hannan_quinn,290
tcpd_hannan_quinn,320
