parameter,index,value,loss,delta_loss
δ_global,1,0.2919999999746218,1605.7461975470023,8.085213900451436
δ_global,1,0.2959999999746218,1599.5467125135115,1.8857288669605623
δ_global,1,0.2999999999746218,1597.660983646551,0.0
δ_global,1,0.3,1598.314126205515,0.6531425589641913
ᴺε₀_global,2,0.2662084339316603,1608.9532455341268,11.292261887575933
ᴺε₀_global,2,0.270875100598327,1600.3601435242954,2.699159877744478
ᴺε₀_global,2,0.27554176726499363,1597.660983646551,0.0
ᴺε₀_global,2,0.2802084339316603,1601.9269156683217,4.265932021770823
ᴺε₀_global,2,0.2833195450427714,1607.6248799745636,9.963896328012652
ᴺε₁_global,3,0.08908221408221408,1604.385939001114,6.724955354563008
ᴺε₁_global,3,0.08913308913308912,1601.2633044933473,3.602320846796374
ᴺε₁_global,3,0.0892094017094017,1598.3877129740968,0.7267293275458542
ᴺε₁_global,3,0.08928571428571427,1597.660983646551,0.0
ᴺε₁_global,3,0.08928571428571429,1598.3028866029283,0.6419029563774075
ᴺγ₀_global,4,0.1936666485243913,1736.724033477079,139.06304983052814
ᴺγ₀_global,4,0.19683331519105798,1599.325244030897,1.6642603843461075
ᴺγ₀_global,4,0.19999998185772466,1597.660983646551,0.0
ᴺγ₀_global,4,0.2,1598.3126631503599,0.651679503808964
ᴺγ₁_global,5,0.09117407932572777,1602.4932150769016,4.832231430350703
ᴺγ₁_global,5,0.09174311892623874,1597.660983646551,0.0
ᴺγ₁_global,5,0.09174311926605504,1598.3141241889816,0.6531405424307195
ᴺγ₂_global,6,0.05263157894736842,1598.3028528390782,0.6418691925273379
ᴺγ₂_global,6,0.05263159415501998,1597.660983646551,0.0
ᴺγ₂_global,6,0.05526317386277098,1607.577341263751,9.916357617199992
ᴺγ₃_global,7,0.06136832651279509,1604.8790809992086,7.218097352657651
ᴺγ₃_global,7,0.06312758577205435,1600.52697403599,2.865990389439048
ᴺγ₃_global,7,0.06488684503131362,1598.480829320276,0.8198456737250126
ᴺγ₃_global,7,0.06664610429057288,1597.660983646551,0.0
ᴺγ₃_global,7,0.06840536354983215,1598.6391468897714,0.9781632432204788
ᴺγ₃_global,7,0.07016462280909141,1603.8151846833189,6.154201036767972
ω_global,8,0.00785927238923019,1608.4808440937786,10.819860447227711
ω_global,8,0.00803927238923019,1597.660983646551,0.0
ω_global,8,0.00821927238923019,1609.2736748083573,11.612691161806424
ᴺp₁_seg1,9,0.00026238498107428903,1602.9941943677984,5.333210721247497
ᴺp₁_seg1,9,0.0002761947169203042,1597.660983646551,0.0
ᴺp₁_seg1,9,0.0002900044527663194,1602.6947977533036,5.033814106752743
ᴺβ_seg1,10,0.9699508119398434,1620.7982849416883,23.137301295137377
ᴺβ_seg1,10,1.0210008546735194,1597.660983646551,0.0
ᴺβ_seg1,10,1.0720508974071954,1633.1960768945905,35.53509324803963
ᴺp₁₂_seg1,11,0.49001999953288794,1604.7528263268248,7.091842680273885
ᴺp₁₂_seg1,11,0.49999999953288793,1597.660983646551,0.0
ᴺp₁₂_seg1,11,0.5,1598.3141259131817,0.6531422666307662
ᴺp₂₃_seg1,12,0.48336666663493055,1606.5948649869292,8.93388134037832
ᴺp₂₃_seg1,12,0.4900199999682639,1600.7979301988223,3.136946552271411
ᴺp₂₃_seg1,12,0.4999999999682639,1597.660983646551,0.0
ᴺp₂₃_seg1,12,0.5,1598.3125872869878,0.6516036404368606
ᴺp₁D_seg1,13,0.001,1598.3126599363525,0.6516762898015713
ᴺp₁D_seg1,13,0.0010000000023939074,1597.660983646551,0.0
ᴺp₁D_seg1,13,0.0010500000025136028,1598.4648048538156,0.8038212072647184
ᴺp₁D_seg1,13,0.0011000000026332982,1601.4647188395445,3.8037351929935994
ᴺp₁D_seg1,13,0.0011333333360464284,1602.7203361738348,5.059352527283863
ᴺp₂D_seg1,14,0.002943037101176094,1602.3890598639878,4.728076217436865
ᴺp₂D_seg1,14,0.0031065391623525435,1598.3097390319845,0.6487553854335601
ᴺp₂D_seg1,14,0.003270041223528993,1597.660983646551,0.0
ᴺp₂D_seg1,14,0.0034335432847054427,1598.3211140048777,0.6601303583267963
ᴺp₂D_seg1,14,0.0035970453458818922,1599.52446880232,1.8634851557690126
ᴺp₂D_seg1,14,0.003760547407058342,1745.3065186599856,147.6455350134347
ᴺp₃D_seg1,15,0.48003999993369695,1603.2485388993987,5.587555252847778
ᴺp₃D_seg1,15,0.49001999993369694,1598.7164825169843,1.0554988704334392
ᴺp₃D_seg1,15,0.4999999999336969,1597.660983646551,0.0
ᴺp₃D_seg1,15,0.5,1598.312673577333,0.6516899307821404
ν_seg1,16,0.048252940296699645,1732.9550398002036,135.29405615365272
ν_seg1,16,0.050250940296699645,1598.3126733190225,0.651689672471548
ν_seg1,16,0.052248940296699645,1597.660983646551,0.0
ν_seg1,16,0.054246940296699644,1598.3126733190225,0.651689672471548
ν_seg1,16,0.056244940296699644,1732.9550398002036,135.29405615365272
ᴺp₁_seg2,17,0.0003358211561692933,1613.4082932963845,15.747309649833596
ᴺp₁_seg2,17,0.00035447788706758737,1600.6252118601692,2.9642282136182985
ᴺp₁_seg2,17,0.00037313461796588144,1597.660983646551,0.0
ᴺp₁_seg2,17,0.0003917913488641755,1599.459673155642,1.7986895090909911
ᴺp₁_seg2,17,0.0004104480797624696,1605.6729388130107,8.011955166459757
ᴺβ_seg2,18,0.10947960741402765,1603.977988844213,6.3170051976621835
ᴺβ_seg2,18,0.11524169201476595,1597.660983646551,0.0
ᴺβ_seg2,18,0.12100377661550424,1605.09921600386,7.438232357309062
ᴺp₁₂_seg2,19,0.48004,1742.4108004192244,144.7498167726735
ᴺp₁₂_seg2,19,0.49002,1599.0173240957436,1.3563404491926576
ᴺp₁₂_seg2,19,0.5,1597.660983646551,0.0
ᴺp₂₃_seg2,20,0.3033105893768325,1751.491241207277,153.83025756072607
ᴺp₂₃_seg2,20,0.31329058937683246,1598.371328154718,0.7103445081670543
ᴺp₂₃_seg2,20,0.32327058937683245,1597.660983646551,0.0
ᴺp₂₃_seg2,20,0.33325058937683244,1598.328349915988,0.667366269437025
ᴺp₂₃_seg2,20,0.34323058937683243,1602.6656332774787,5.0046496309278155
ᴺp₁D_seg2,21,0.06644398056785143,1745.6615195922327,148.0005359456818
ᴺp₁D_seg2,21,0.07013531282162096,1598.4677809087007,0.8067972621497574
ᴺp₁D_seg2,21,0.07382664507539048,1597.660983646551,0.0
ᴺp₁D_seg2,21,0.07751797732916,1598.3529570811447,0.6919734345938195
ᴺp₁D_seg2,21,0.08120930958292953,1603.0747900168337,5.413806370282828
ᴺp₂D_seg2,22,0.48003998112593343,1603.5330683193197,5.8720846727687785
ᴺp₂D_seg2,22,0.4900199811259334,1598.951634452931,1.2906508063801994
ᴺp₂D_seg2,22,0.4999999811259334,1597.660983646551,0.0
ᴺp₂D_seg2,22,0.5,1598.31412556136,0.6531419148091118
ᴺp₃D_seg2,23,0.23231997204760257,1751.5574319462157,153.89644829966483
ᴺp₃D_seg2,23,0.24229997204760256,1598.3763983120239,0.715414665472963
ᴺp₃D_seg2,23,0.25227997204760255,1597.660983646551,0.0
ᴺp₃D_seg2,23,0.26225997204760254,1598.2812271464893,0.6202434999383968
ᴺp₃D_seg2,23,0.27223997204760253,1601.1045367771196,3.4435531305687164
ᴺp₃D_seg2,23,0.2788933053809359,1601.1517045645646,3.4907209180137215
ᴺp₃D_seg2,23,0.28332886093649146,1603.7846762166382,6.123692570087314
ν_seg2,24,0.0013490126385839875,1602.4084393419298,4.747455695378903
ν_seg2,24,0.0014239577851719869,1598.3141262137503,0.6531425671994384
ν_seg2,24,0.001498902931759986,1597.660983646551,0.0
ν_seg2,24,0.0015738480783479853,1598.3141262137503,0.6531425671994384
ν_seg2,24,0.0016487932249359847,1602.4084393419298,4.747455695378903
ᴺp₁_seg3,25,0.0026203849261069913,1605.5795261017709,7.918542455219949
ᴺp₁_seg3,25,0.0027582999222178855,1597.660983646551,0.0
ᴺp₁_seg3,25,0.0028962149183287796,1605.5430946271395,7.88211098058855
ᴺβ_seg3,26,0.18038002784676954,1666.2895314020261,68.62854775547521
ᴺβ_seg3,26,0.18987371352291532,1597.660983646551,0.0
ᴺβ_seg3,26,0.1993673991990611,1650.878450694127,53.217467047576065
ᴺp₁₂_seg3,27,0.4900199728619967,1604.330272094116,6.669288447565123
ᴺp₁₂_seg3,27,0.4999999728619967,1597.660983646551,0.0
ᴺp₁₂_seg3,27,0.5,1598.3141240693342,0.6531404227832809
ᴺp₂₃_seg3,28,0.4800399999060006,1603.3962865773797,5.735302930828766
ᴺp₂₃_seg3,28,0.4900199999060006,1599.2860253298622,1.6250416833113377
ᴺp₂₃_seg3,28,0.4999999999060006,1597.660983646551,0.0
ᴺp₂₃_seg3,28,0.5,1598.3141263141267,0.6531426675758212
ᴺp₁D_seg3,29,0.001,1598.3141260263578,0.6531423798069227
ᴺp₁D_seg3,29,0.0010000003623938233,1597.660983646551,0.0
ᴺp₁D_seg3,29,0.0010500003805135145,1598.339230481819,0.6782468352680553
ᴺp₁D_seg3,29,0.0011000003986332057,1602.4758770618862,4.814893415335291
ᴺp₂D_seg3,30,0.20989045412831087,1751.1703560039116,153.5093723573607
ᴺp₂D_seg3,30,0.21987045412831085,1598.8670654892512,1.2060818427003142
ᴺp₂D_seg3,30,0.22985045412831084,1597.660983646551,0.0
ᴺp₂D_seg3,30,0.23983045412831083,1598.9665378731083,1.3055542265574331
ᴺp₂D_seg3,30,0.24981045412831082,1605.7329901715816,8.072006525030702
ᴺp₃D_seg3,31,0.48003999999999997,1602.4708554504234,4.809871803872511
ᴺp₃D_seg3,31,0.49001999999999996,1598.8666693238813,1.2056856773303934
ᴺp₃D_seg3,31,0.49999999999999994,1597.660983646551,0.0
ᴺp₃D_seg3,31,0.5,1598.302986531875,0.6420028853240183
ν_seg3,32,0.010276983849681806,1751.11312607198,153.4521424254292
ν_seg3,32,0.01084792739688635,1598.3639467492164,0.7029631026655352
ν_seg3,32,0.011418870944090895,1597.660983646551,0.0
